dav,swa
Kilongozi wawo owadwa na ukangirwa kifungonyi.,Kiongozi wao alikamatwa na kuwekwa gerezani.
Ijo isanga jeshambulilwa ni vikundi vaenga va waasi.,Nchi hiyo inashambuliwa na makundi kadhaa ya waasi.
Mghosi wa lughongo owonekana na makosa kotinyi.,Kiongozi wa kijiji alihukumiwa mahakamani.
Okurudulwa ni igare.,Alivurutwa na gari.
Ni mundu urumaghiagha nandighi.,Ni mtu mvumilivu sana.
Wandu wa ijeshi wakufunya nandighi kwa wulindiri ghodu.,Wanajeshi hujitolea sana kwa usalama wetu.
Nerekaieghe miaka mfungade jija isanga.,Nilikaa miaka saba katika nchi ile.
Wachurie mali kwa zoghori yape.,Ameongeza rasilimali kwa biashara yake.
Zoghori nyingi kuzoenyi nderikaiagha na magome ghikate.,Biashara zingine hapo mwanzoni zina fedha isiotosha.
Omoni waandika habari ra TV imu anyao kavui.,Yeye ni mwandishi wa habari katika televisheni moja ya mtaani.
Wawiatala wandu wikaiagha aha.,Wanahesabu idadi ya watu wanaoishi hapa.
Fuwe nyingi ra mighondinyi rakaia kilembenyi icho cha isanga.,Wengi wa sokwe wa milimani wanaishi katika mbuga hiyo ya kitaifa.
Wubwaghi ghodiwa nyamandu ghughirilo.,Mauaji haramu ya wanyama yakomeshwe.
Waja wikiagha wuda wakaia na kuwawa.,Wanaonusurika vita huishi na uchungu.
Nekiria ajali ya ndege.,Nilinusurika kwenye ajali ya ndege.
Ndekune picha andenyi ya ichochuo cha ngano.,Hakuna picha katika kitabu hicho cha hadithi.
Nakaie isanga jha kighenyi kwa miaka ikumi.,Nimeishi katika nchi ya kigeni kwa miaka kumi.
Omoni ni mundu umanyikie kwa iyo mizi.,Yeye ni mkazi anayejulikana katika kijiji hicho.
Derejieghe malagho diko kwa iyo sherehe.,Tulizungumza tukiwa katika sherehe.
Nakaiagha na maza riseghane kazinyi.,Huwa nina shughuli chungu nzima kazini.
Walimu wekotia wichurilo mishara.,Waalimu waliomba ongezeko la mshahara.
Isanga jedu jeko na wulindiri ghwa hali ya ighu.,Nchi yetu ina usalama wa hali ya juu.
Omoni ni mndi oandika habari.,Yeye ni mwandishi wa habari.
Wele wasi ghwa kupanga wuzazi ni kii?,"Je, madhara ya mpango wa uzazi ni yapi?"
Uo mkpngo onekwa wughanga ghuidie matuku gharo.,Mgonjwa huyo alipewa dawa ambayo mda wake ulikwisha.
Wanighorie iyo ngano.,Alinisimulia hadithi hiyo.
Kulemwa ni kusikirana aja mbuwenyi koreda kibunguru.,Kutoelewana katika shamba hilo kulileta vurugu.
Vidoi vedibara nakio.,Wezi walitushambulia usiku wa manane.
Ndedimanyire nani ulinganishoro na ijo ilagho.,Hatujui ni nani alihusika na tukio hilo.
Ndidihamiagha icho kifumbu.,Hatutahamia mji huo.
Andu kwawo kwakaia anyaa isangenyi.,Makao yao makuu yatabaki kwa nchi hii.
Dawiazighana habari.,Tunatazama habari.
Nerekoghe andenyi ya agho mashindano.,Nilishiriki katika mashindano hayo.
Mashindano gha ugho msarigho ghoindana.,Mechi hiyo ilienda sare.
Msarigho yachezwa matuku mazima mazima.,Michezo itachezwa siku tofauti.
Mapato gha iyo kampuni ghachurikie.,Faida ya kampuni hiyo imeongezeka.
Kodi ya ighu eshekeria niende hasara ya zoghori yapo.,Ushuru mkubwa ulisababisha hasara katika biashara yangu.
Waja wikumbie magome kwa iyo zoghori wapatire faida mbaa.,Wawekezaji walipata pesa nyingi kutokana na mradi huo.
Wadinonia irina.,Wanajaribu kutuharibia jina.
Wele iyo kampuni yawiaendesha shughuli rawo wada?,"Je, kampuni hiyo inaendeshaje shughuli zake?"
Dehamisha ofisi redu kwa iaghi iwishi.,Tumehamisha ofisi zetu katika jengo mpya.
Dalaghashire magome mengi miaka iidie.,Tulipoteza pesa nyingi miaka iliyopita.
Labu yalindilwa ni walindiri wawi.,Maabara inalindwa na askari wawili.
Opakura mali rapo.,Alinyakua mali yangu.
Jirani wapo wadieleshere seji vidoi vingirie nyumbenyi kwape.,Jirani yangu alieleza jinsi wezi walingia nyumbani mwake.
Wekunda umerie miaka yape kazinyi na sere.,Wanataka astaafu kwa amani.
Mbaa wa kampuni ndoughorie aighu ya ijo ilagho.,Mwandishi wa kampuni hajazungumzia swala hilo.
Siwadie akaunti ya bengi.,Sina akaunti ya benki.
Dawiazighana habari ra luma lwa penyu.,Tunatazama habari za jioni.
Kukaida mtihani kwanekwa satfiketi.,"Ukipita mtihani, utapewa shahada."
Dereshinda ugho msarigho.,Tulishinda mchezo huo.
Neresilwa nandighi nyuma ya kumeria msarigho.,Nilichoka sana baada ya mchuano huo.
Wadederie wuing'oni ghwawo mando awi.,Wametetea ubingwa wao mara ya pili.
Nereandikishireghe irina japo ela ndejerekoghe kwa rejesta.,"Ingawaje nilijiandikisha, jina langu halikuwepo kwa orodha."
Nyumba rekodesha ni kuzoya kwa mapato.,Nyumba za kukodisha ni chimbuko la mapato.
Wandu wamu wekodesha nyumba ndewikunde kulipa kodi.,Baadhi ya wapangishaji hawataki kulipa ushuru.
Deko na sere na maendeleo kwa muzi ghwapedu.,Kuna amani na ustawi katika jamii yetu.
Wandu wengi webwaghwa wudenyi.,Watu wengi waliuwawa katika vita.
Wekunda wikumbe magome kwa zoghori yapo.,Wanataka kuwekeza katika biashara yangu.
Dangirie sahii kwa marumiriano.,Tumeweka sahihi kwa makubaliano.
Omoni ni mundu otangaza habari.,Yeye ni mtangazaji wa habari.
Waka na womi wefwana wikaie karakara.,Wanaume na wanawake wanafaa kusawazishwa.
Kulipuka kwa wukongo ghwa kipindupindu ni kwa wundu ghonywa machi ghilue.,Mlipuko wa kipindupindu ulisababishwa na unywaji wa maji yaliyochafuka.
Wana mrongo iwi wifumie andu kwa wukiwa webwaghwa ni kipindupindu.,Watoto ishirini kutoka eneo la makazi duni walikufa kutokana na kipindupindu.
Kwatumie agho magome ghose wada?,Ulizitumiaje hizo pesa zote?
Deko na wowa kuhusu ghaja dighisikire.,Tuna wasiwasi juu ya kile tulichosikia.
Ugho mpango ghwadwae ngelo ndacha kuchumba seji ghorepangiloghe.,Mradi huo ulichukua muda mrefu kuliko ilivyopangwa.
Ovamilwa nwao ukabwaghwa.,Alitekwa nyara na kuuwawa.
Wandu wawi wagheshero kuhusika na wuhalifu.,Watu wawili wanadhaniwa kuhusika na uhalifu.
Orepata iyo ndoe kufuma kwa wawae wa womi usaghie.,Alipata ardhi hiyo kutoka kwa marehemu babu yake.
Okurudulwa mpaka kotinyi kwa kunyaghiria ndoe ya serikali.,Alivurutwa hadi mahakamani kwa kunyakua ardhi ya serikali.
Mbaa wa wizara ujibuu makotio ghose kesho.,Waziri atajibu maswali yote kesho.
Wandu wawiateswa..,Watu wanateswa.
Wuja kazi ya ijeshi isangenyi ni kii?,Ni nini jukumu la jeshi katika nchi?
Walegha kuinjika mbuwenyi.,Amekataa kuondoka kwenye shamba.
Mashindano gheko na monyomonyo raenga.,Riadha zina changamoto nyingi.
Wadu weko tayari kubonya ijojose.,Watu wako tayari kufanya chochote.
Icho kikundi chekunda chifundishe wadawana na wai.,Kikundi hicho kinakusudia kufunza vijana.
Kilongozi wa icho kikundi wawanga mkutano.,Kiongozi wa kundi hilo ameitisha mkutano.
Mgomo ghukaiagha juma ichagha.,Kutakua na mgomo juma lijalo.
Ndekune wubinana isangenyi ihi ngelo.,Hakuna usalama nchini kwa wakati huu.
Wandu wanywa kahawa mando matineri.,Watu hunywa kahawa mara chache.
Wakulima wengi ndewitumiagha mazwagha ghawo weni.,Wakulima wengi hawatumii bidhaa zao.
Awo wakulima weka na lengo euza kahawa iekeri.,Wakulima hao wana lengo la kuuza kahawa pekee.
Wabonyero kisaya wiko kifungonyi.,Walitendewa vibaya wakiwa gerezani.
Wabunge waose ndewiko mpande ghumweri.,Wabunge wote hawamo upande mmoja.
Ijo itangazo ndejineghe haja ya wandu walazi.,Tangazo hilo halikuhitaji umati wa watu.
Ghko wuda ghwa ndoe aghadi ya iro mpande iwi.,Kuna mgogoro wa ardhi kati ya pande hizo mbili.
Awo wandu wekunda wipwane na weke ofisaa wa serikali.,Watu hao wanataka kukutana na maafisa wa serikali.
Awo wawi weenjwa kotinyi.,Hao wawili walipelekwa mahakamani.
Wawurieghe kufuma charonyi.,Amerudi kutoka safari.
Nishindagha ishindano.,Nitashinda pambano.
Ijo ishirika ndejiwadie wabonyi kazi wikate.,Shirika halina wafanyakazi wa kutosha.
Skulu ifundishagha weke ofisaa wiboie.,Shule itafundisha maafisa bora.
Kikundi icho ndechiboilo ni ijo ighesho.,Kundi halijafurahia wazo hilo.
Wuchaguzi ghofunya worinyi wunyonge ghwape.,Uchaguzi ulidhihirisha udhaifu wake.
Orebagulwa skulu kwa wundu ghwa wukelemeri.,Alibaguliwa shuleni kwa sababu ya ulemavu.
Omoni ni mwana mkiwa.,Yeye ni yatima.
Ndediko na haja naomoni.,Hatukuhitaji.
Uo mundu wakaie na ugho wukongo kwa miaka yaenga.,Mtu huyo ameishi na ugonjwa huo kwa miaka mingi.
Kuereshwa kwa ugho wukongo kwapungue.,Kumekuwa na upungufu wa usambazaji wa ugonjwa huu.
Kampuni ichuriagha mishara ra wabonyi kazi.,Kampuni itaongeza mishahara ya wafanya kazi.
Weko wandu wengi kifungonyi.,Kuna watu wengi gerezani.
Wowa ghoko ngera wafungwa wadima kuchurikia.,Kuna hofu kwamba huenda idadi ya watu waendao gerezani kuongezaka.
Wandu wezamilwa kwa wundu ghwa wudumiki winekelo.,Watu wamekasirika kwa sababu ya huduma wamepewa.
Barabara eko hali izamie.,Barabara iko katika hali mbaya.
Warumiriane kubonyanya kazi eri kuinja wuhalifu.,Wamekubaliana kufanya kazi pamoja ili kukomesha uhalifu.
Wandu wengi witesekiagha kwa ugho mpango.,Watu wengi watafaidika kutokana na mpango huo.
Vilongozi wa dini wapwane kuzighana ijo ilagho.,Viongozi wa dini walikutana ili kuangalia swala hilo.
Mkutano ghwa weke dreva ndoghuendie nicha.,Mkutano wa madereva haukuenda vizuri.
Sharia mbishi yabirie.,Sheria mpya ni kali.
Momu ghwa uo kilongozi ndoghukatishiro hata kutini.,Ahadi ya kiongozi huyo haikutekelezwa kamwe.
Maghanga ndeghiko wughangenyi.,Hakuna dawa katika kituo cha afya.
Hospitali rimu rekundika eri kudumikia wakongo.,Hospitali zingine zinahitajika ili kuhudumia wagonjwa.
Serikali yalombelo izighane ijo ilagho.,Serikali imeombwa kuangalia swala hilo.
Wagalie mzinyi kumanyira wandu wape hali.,Alienda kijijini kuwajulia hali watu wake.
Uo polisi kilongozi oshoghonolwa ni mundu mzima.,Polisi kiongozi huyo alijeruhiwa na mtu mwingine.
Oenjwa hospitali ukidikwa ni bagha.,Alipelekwa hospitali akiwa anavuja damu.
Majibu ghinekelo ni mbaa wa iyo wizara gheshinua awo wandu.,Majibu yaliyopewa na waziri yalishangaza kikundi hicho.
Maghesho gha wazima nagho wori ghizighanwagha.,Maoni ya watu wengine pia yatafikiriwa.
Malagho agho ghavavivirie wandu ngolo seji ghiendie.,Matokeo hayo yamewahuzunisha watu wengi.
Omoni ndoufumagha ofisinyi.,Yeye haondoki ofisini.
Wafunyiro makosa kwa kupendelia wandu wamu.,Amekosolewa kwa kupendelea watu wengine.
Ugho wuamuzi ndoghuadadire kila mundu orekoghe aho.,Uamuzi huo haukuathiri kila mtu aliyekuwepo.
Ni suit kukira mbeu ra jadi.,Kuna haja ya kuokoa aina za mbegu za kienyeji.
Kupata mbeu ra kiasili kwakurie.,Ni vigumu kupata mbegu za kienjyeji.
"Wele, ni loli kilongozi wawiawighiria?",Je ni kweli kiongozi anawadhibiti?
Timu rose ra mpira ghwa maghu rasarigha juma ichenii.,Timu zote za mpira wa miguu zitacheza wiki hii.
Ngera timu yadima kushinda indo jha kawi.,Huenda timu ikashinda mara ya pili.
Wakatili wazerwa weko ichenicho kifumbu.,Waasi wanasemekana kuwa katika eneo hilo.
Ijeshi bado jeko aho andu.,Bado jeshi lipo mahali hapo.
Orekaukideda mkutanonyi ghwa ijeshi.,Alikuwa anaongea katika mkusanyiko wa jeshi.
Serikali yaaghie soko mbaa.,Serikali imejenga soko kubwa.
Ova uko bado mwai mtini.,Alizaa akiwa bado mchanga.
Ipwanyiko ndejibonyekie seji ikundikane kwa sharia.,Mkusanyiko haukufanyika kulingana na sheria.
Welemwa ni kulipa ugho mkopo.,Wameshindwa kulipa mkopo huo.
Omoni toe ni mundu upingagha serikali.,Yeye daima ni mpinzani wa serikali.
Ndourumirianagha na wambao wipinganagha.,Hakubaliani na viongozi wapinzani.
Kushinda kwape kwabonyeria bado wandu wamrumirie.,Ushindi wake unaonyesha bado watu wanamuamini.
Weko waaghi wiko na wujuzi.,Kuna wajenzi walio na ujuzi.
Bunge edederia.,Bunge liingilie kati.
Wabwaghi wengi watumia pikipiki.,Wauaji wengi hutumia pikipiki.
Spaki kudumbukadumbuka mando mengi ni kwa wundu ghwa kusowa wufundi.,Kukatika kwa umeme wakati mwingine husababishwa na masuala ya kiufundi.
Mizango nyingi ra kidawida rebwaghwa.,Taasisi nyingi za kitamaduni ziliangamizwa.
Sherehe ra kuwikwa wakfu raendie nicha.,Sherehe ya kutawazwa ilikuwa ya mafanikio.
Mitambo reboisa vilambo rachurikie.,Kuna ongezeko la idadi ya viwanda vya utengenezaji.
Mitambo efwana ikaie na modo ghukate ghusedumbulwagha.,Viwanda vinapaswa kuwa na usambazaji wa umeme usiokatizwa.
Wujumbe ghochelewa.,Mawasiliano yalichelewa.
Magome ghitumilo kwa starehe kumangu ghagha skulu angu hospitali.,Pesa zilizotumika kwa burudani zingetumika kujenga shule na hospitali.
Chumba cha waka wiko na misigo chaaghilo hospitali ya Kambi Ra Punda.,Chumba cha wajawazito ilijengwa katika hospitali ya Kambi Ra Punda.
Ghoka wuda ghwa mbuwa aja Chawia.,Kulikuwa na mgogoro wa ardhi huko Chaw'ia.
Weko wabwaghi wengi agha matuku.,Kuna wauaji wengi sana siku hizi.
Uo polisi obwaghwa.,Mwanamme polisi huyo aliuwawa.
Kilongozi ofwana udumikie waisanga.,Kiongozi anafaa kuhudumia wananchi.
Maghanga ghamu ghareda shida.,Dawa zingine zina athari.
Distrikti mbishi rechurilwa.,Wilaya mpya ziliundwa.
Kifwa chape chawawe wandu wengi.,Kifo chake kiliumiza watu wengi.
Mishara ya vilongozi vimu ipunguzwagha.,Mishahara ya baadhi ya viongozi itapunguzwa.
Wadawida wamu ni Waisilamu.,Baadhi ya Wataita ni Waislamu.
Mlindiri wape oshitakilwa kwa vichinichini.,Mlinzi wake alishtakiwa kwa uhaini.
Wafungwa wa siasa wewika magome eri wilekerelo.,Wafungwa wa kisiasa waliachiliwa kwa dhamana.
Mitambo ra mavuda na gasi viredagha kazi nyingi.,Viwanda vya mafuta na Gesi vitatengeneza nafasi nyingi za kazi.
Wandu wa irika wengi ndewiwadie kazi.,Kuna kiwango kikubwa cha ukosefu wa ajira miongoni mwa vijana.
Wadawana wengi wawialola kazi.,Vijana wengi wanatafuta ajira.
Wadawana wengi weko tayari kubonya kazi iyoyose.,Vijana wako tayari kuajiriwa kazi yeyote ile.
Bunduki nyingi regulwa eri ritumilo kulwa na wahalifu.,Bunduki zaidi zilinunuliwa ili kupigana na wahalifu.
Wandu wengi wakungira kwa siasa.,Watu wengi wanajihusisha na siasa.
Wandu wengi wafaidika kwa mali ra wavi wawo.,Baadhi ya watu hufaidika kutokana na mali ya wazazi wao.
Wavi wengi ndewinagha mipango seji wana wawo wikaiagha matuku gha imbiri.,Wazazi wengi hawajipangi kuhusu siku za usoni kwa watoto wao.
Gheka mashindano gha msarigho ghuwangwagha gofu.,Kulikuwa na mashindano ya gofu ya wazi.
Mabonyo gha polisi wamu ndeghiboie.,Vitendo vya baadhi ya maafisa wa polisi si vyema.
Okundiloghe ni wandu wengi.,Alipendwa na watu wengi.
Shekeria ra mabwaghi rawiazighanwa.,Sababu za mauaji zinachunguzwa.
Mabemba mengi ghauzwa noko cha shighadi ya isanga.,Mahindi mengi yanauzwa nje ya nchi.
Bei ya mabemba eka ndonyi zaidi.,Bei ya mahindi iko chini sana.
Toe omoni waghora loli.,Daima yeye husema ukweli.
Ofisaa wa polisi ni wengi.,Maafisa wa polisi ni wengi.
Omoni ni kilongozi uko na suku.,Yeye ni kiongozi mwenye hekima.
Wafungwa wengi wateswa.,Wafungwa wengi wanateswa.
Timu ya isanga ya mpira ghwa maghu eka timamu.,Timu ya taifa ya kandanda iko imara.
Obwaghwa ni wandu wisemanyikagha.,Aliuwawa na watu wasiojulikana.
Oka mundu ukunde sere.,Alikuwa mtu mwenye amani.
Mishara ya walimu ni mitini nandighi.,Mishahara ya walimu ni ndogo.
Walimu efwana wikumbilo ngolo.,Walimu wanahitaji kuhamasishwa.
Otumia wakili wa noko.,Alitumia wakili wa kimataifa.
Osighirilwa kwa kuwika mafungu.,Aliachiliwa kwa dhamana.
Vilongozi wamu walola wutesia ghwa magome kwa waghenyu.,Viongozi wengine hutafuta msaada wa kifedha kutoka kwa wageni.
Wandu wengi wakunde kilongozi mmbishi.,Watu wengi wanatamani kuwa na kiongozi mpya.
Wandu wawiaimwa hachi rawo.,Haki za watu zinakiukwa.
Ijeshi jawiateselwa na mafundisho ela na mazwagha wori.,Jeshi linasaidiwa na mafunzo na vifaa.
Wandu wengi webwaghwa ni wukongo ghwa malaria.,Watu wengi walikufa kwa ugonjwa wa malaria.
Kamiti eundwa.,Kamati iliundwa.
Oenda charo chanoko cha wulaya kwa wurighiti zaidi.,Alisafiri ng'ambo kwa matibabu zaidi.
Ijeshi jekunda wutesia ghwa masanga mazima.,Jeshi linahitaji msaada wa kimataifa.
Toe waripoti malagho gha siasa.,Daima wanaripoti mambo ya kisiasa.
Wewusa magome kufuma kwa Wakorea.,Walichukua pesa kutoka kwa Wakorea.
Ichi kifumbu cheka na wasi ghwa ndoe kukuruduka.,Wilaya ina tatizo la maporomoko ya ardhi.
Wandu wendi weka hatarinyi elaghasha maisha.,Watu wengi wako katika hatari ya kupoteza maisha.
Dreva obwaghwa.,Dereva aliuwawa.
Owadwa ni polisi.,Alikamatwa na polisi.
Olengwa na risasi.,Alilengwa na risasi.
Wudoi kwa kunyaghiria ndoe nigho ghwazidi.,Kuna unyakuzi mwingi wa ardhi.
Ndoe reko na bei gali.,Ardhi ina bei ghali sana.
Wana wengi wa skulu wafundishwa wushomi kuchumba mabonyo.,Wanafunzi wengi hufundishwa nadharia zaidi kuliko vitendo.
Maaghi zaidi gha mafundi ghefwana ghiagho.,Taasisi zaidi za ufundi zinapaswa kujengwa.
Wandu wakundagha kuandika washomi wifumie skulu ra wufundi.,Watu wanapendelea kuajiri wanafunzi kutoka shule za ufundi.
Magome mengi ghatumbanywa kufuma kwa kodi.,Mapato mengi yanakusanywa kutoka kwa ushuru.
Kuagiza vilambo kufuma chashighadi kwatozwa magome mengi gha kodi.,Uagizaji kutoka nje hutozwa ushuru mkubwa.
Wandu wilipagha kodi ni suti wizighano nicha.,Walipa kodi wanahitaji kuthaminiwa mara kwa mara.
Werengirieghe misarigho ya isanga ya netiboli.,Walishiriki katika michuano ya kitaifa ya netiboli.
Kodi ra simu ra mkonunyi rechurilwa.,Ushuru wa pesa za rununu uliongezwa.
Wandu wengi wezoya zoghori.,Watu wengi wanaanzisha biashara.
Weshitakilwa kwa wugaidi.,Walishtakiwa kwa ugaidi.
Waghenyu weko wengi.,Kuna wageni wengi.
Wandu wengi wefwa kwa ugho mlipuko ghwa bomu.,Watu wengi walikufa katika mlipuko huo wa bomu.
Wana wengi wasumbulwa ni makongo ghenekeriana.,Watoto wengi wanasumbuliwa na maambukizi.
Wandu wiko na mali ra ndoe ni suti wilindilo.,Wamiliki wa ardhi wanahitaji kulindwa.
Ndoe dini sana niro riandikishiro.,Asilimia ndogo sana ya ardhi imesajiliwa.
Olekerelwa kwa kuwika magome wakfu.,Aliachiliwa kwa dhamana.
Maofisaa wamu wabaa wefungwa.,Baadhi ya maafisa wakuu walifungwa.
Wandu wengu ndewiungie mkonu.,Watu wengi hawakuunga mkono.
Iyo kesi yeenjwa kotinyi ya ighu.,Kesi hiyo ilipelekwa katika mahakama kuu.
Wandu wa ijeshi ndewifane kungia siasa.,Wanajeshi hawapaswi kushiriki katika siasa.
Kirimba cha siasa chaghalukie.,Asili ya siasa inabadilika.
Vilongozi va vama va siasa repinga wawiaghaluka.,Viongozi wa vyama vya siasa vya upinzani wanabadilika.
Wandu wengi watini wawiaunga mkonu vama vepinga.,Vijana wengi wanaunga mkono vyama vya upinzani.
Serikali yazoye kuwadana na masanga mazima kwa zoghori.,Serikali ilianza kushirikiana na nchi nyingine katika biashara.
Vilongozi wamu wedamba kwa wundu ghwa zoghori.,Baadhi ya viongozi walisafiri kwa ajili ya biashara.
Omoni nio mundu utangazagha nicha zaidi.,Yeye ndiye mtangazaji bora zaidi.
Koti esoghora kusikirwa kwa kesi yape.,Mahakama iliaihirisha kusikizwa kwa kesi yake.
Mlindiri ofungwa.,Mlinzi alifungwa.
Okabwa kisaya ni polisi.,Alipigwa kikatili na polisi.
Odamba kwa wurighiti.,Alisafiri kwa matibabu.
Weko wandu watineri wiko na mali.,Kuna watu wachache walio matajiri.
Oreka mundu wa habari uko na wujuzi.,Alikuwa mwanahabari mwenye ujuzi.
Sere eko isangenyi.,Kuna amani nchini.
Wawiazighana malagho gha siasa nicha sana.,Wanaaangazia mambo ya kisiasa vizuri sana.
Owrewadwa kiwachenyi cha ndege.,Alikamatwa kwenye uwanja wa ndege.
Omoni oreka ni mwana wa mwalimu.,Alikuwa mtoto wa mkufunzi.
Oreshitakilwa kwa kuja malagho ghiseboie.,Alishtakiwa kwa mawasiliano yasiyopendeza.
Weenda kwa koti ra sharia.,Walienda kwenye mahakama za sheria.
Wahalifu ndewifwani kusighirilwa.,Wahalifu hawapaswi kuachiliwa.
Weke wakili wefwana kungia ghadi kwa iri kesi ra mateso.,Mawakili wanafaa kuingilia kati ya kesi za mateso.
Wandi wamu walaghashire maisha.,Baadhi ya watu walipoteza maisha.
Walndu welaswa rija bomu ra mbori.,Watu walipigwa mabomu ya machozi.
Wandishi wa habari idakoni waobua kuripoti fujo.,Waandishi wa habari sasa wanaogopa kuripoti ghasia.
Reko nyumba nyingi ra andu kwa habari.,Kuna majumba mengi ya vyombo vya habari.
Weke ofisaa wawiatesa wandu wisebonyere ilagho jingi wefwana wizighano nicha.,Maafisa wanaotesa watu wasio na hatia wanapaswa kuchunguzwa.
Toe koka na fujo mzi mbaa.,Daima kuna ghasia mjini.
Korekoghe na izungu jha wandu kwa rija kampeni.,Kulikuwa na umati wa watu katika kampeni.
Wereka wimanyikie sana.,Walikuwa maarufu sana.
Wefwana wirighito ni warighiti wa serikali.,Wafaa kutibiwa na madaktari wa serikali.
Vilongozi wengi walola kurighitwa noko chashighadi.,Viongozi wengi hutafuta matibabu katika nchi za nje.
Waziri wapuzia ghaja wandu wikunde.,Waziri anapuuza matarajio ya watu.
Gheko mengi ghekukufundisha kwa siasa.,Kuna mengi ya kujifunza kwa siasa.
Waandishi wa habari wawiafunyirwa hotuba.,Waandishi wa habari wanahotubiwa.
Kutesa si ikosa sena.,Kutesa si kosa tena.
Ni makosa kutesa wakosi.,Ni vibaya kuwatesa watuhumiwa.
Mwanasharia ndoudambie kuenda Dubai.,Mwanasheria hakusafiri kwenda Dubai.
Owunjirwa makaritasi ghape ghose.,Alirudishiwa hati zake zote.
Ijeshi jelomba wughoma kwa kusowa adabu.,Jeshi liliomba radhi kwa utovu wa nidhamu.
Sidimagha kuenda ugho mkutano.,Sitaweza kuhudhuria mkutano huo.
Mando menmgi wandu watimi wapuzilwa kwa siasa.,Mara nyingi vijana hupuuzwa katika siasa.
Wanughi wape wemkabia chukalaghala na kumkasa.,Wafuasi wake walimshangilia na kumsifu.
Oghora ni tee wei otesa wakosi.,Alikanusha madai ya kuwatesa washukiwa.
Awo wabunge weshitakilwa kwa wuhaini.,Wabunge hao walishtakiwa kwa uhaini.
Bado widuagha wikifunya wushuda zaidi.,Bado wanachomoa ushahidi zaidi.
Nazighanire habari rose putu.,Nilitazama habari zote kabisa.
Ndewiendie mkutanonyi.,Hawakuhudhuria mkutano.
Waboisire ugho wasi.,Wamesuluhisha tatizo hilo.
Omoni ni ofisaa wa kala kwa Wizara ya Elimu na Michezo.,Yeye ni afisa wa zamani katika Wizara ya Elimu na Michezo
Olwa duu.,Alipambana bure.
"Zaidi ya mali rape, wawadanagha na wakiwa.","Licha ya utajiri wake, anashirikiana na maskini."
Waghenyu wape waririlo niomoni sana.,Rafiki zake wamemtamani sana.
Kampuni rimu rakaia na ofisi rawo kwa nyumba imweri.,Kampuni zingine hua na ofisi zao katika jumba moja.
Zoghori ikaiagha baa wulalo ghukawoneka.,Biashara itakuwa nafuu nafasi itakapopatikana.
Wukulima ghwa chai ghoko na wasi mungi.,Ukulima wa chai una changamoto nyingi.
Wekunda mbolea na kuwaghilwa modo ghukate.,Wanahitaji mbolea na usambazaji wa umeme thabiti.
Omoni nio mbaa wa wabonyi kazi.,Yeye ndiye mkuu wa wafanyikazi.
Wandu wa ijeshi wa msitari ghwa imbiri wakaia na wukongo ghwa akili.,Wanajeshi walio kwenye mstari wa mbele huwa wanaugua ugonjwa wa akili.
Waja wifundishiro maza ra Kisaikolojia wanekelo vipalapala vawo.,Wafunzwa wa tiba ya kisaikolojia walithibitishwa.
Wanasaikolojia warighita makongo gha akili.,Wanasaikolojia wanatibu magonjwa ya akili.
Uo mundu wa sharia ni mkongo sana.,Mwanasheria huyo ni mgonjwa sana.
Werekunda kuiwa mkongho kufuma wughangenyi.,Walitaka kumwiba mgonjwa kutoka hospitali.
Waziri ozera wandu watini wisighane na wujambazi.,Waziri aliwaambia vijana waachane na ujambazi.
Kuvurugha maza sio chia iboie ezoghua kazinyi.,Vurugu sio njia mwafaka ya kuingia madarakani.
Mashtaka ghekumbwa noko.,Mashtaka yalitupiliwa mbali.
Wushuda ghokundika imbiri ya wuamuzi kubonywa.,Ushahidi unahitajika kabla ya uamuzi kufanywa.
Olegha kufunya habari irorose ra iro bunduki.,Alikataa kufichua habari zozote kuhusiana na bunduki hizo.
Omoni ni mdu otangaza habari.,Yeye ni mtangazaji wa habari.
Wandu wa sharia bado widuagha wifungilo jela.,Wanasheria bado wanazuiliwa gerezani.
Welomba wilekerelo kwa kuwikilwa mafungu.,Waliomba dhamana.
Ni ndengwa kutumia ngula kwa wadamu.,Ni hatari kutumia koleo kwa binadamu.
Weremselia uhu ukirie mateso.,Walimtembelea mwathirika wa mateso.
Wose wepwana kotinyi kumbona.,Wote walikusanyika mahakamani kumuona.
Onona kila kilambo.,Aliharibu kila kitu.
Darekodie kila kilambo.,Tulirekodi kila kitu.
Wakaie kighirilonyi kwa matuku arandadu.,Amekua kizuizini kwa siku sita.
Wakenya waungana na waganda kwa maandamano.,Wakenya wamejiunga na Waganda kwa maandamano.
Hachi ra wadamu nderawiazighanwa.,Kuna ukiukwaji wa haki za binadamu.
Wekunda wimanye mbao wafue wada.,Wanataka kujua mwenzao alikufaje.
Ndekune hachi emsigha kifungonyi.,Hakuna sababu halali ya kumuacha kizuizini.
Ndekune mana etesa wanasharia.,Hakuna sababu ya kuwatesa wanasheria.
Polisi wadighorie shekeria ewiwada.,Polisi walitupa sababu za kuwakamata.
Wakaribishiro kwa kuboilwa.,Alikaribishwa kwa uchangamfu.
Iji ini indo jha kawi kumbwada.,Hii ni mara ya pili kumkamata.
Waendatimwa.,Anaenda kujaribiwa.
Wulindiri ghoka ghwa ndighi ituku jose.,Ulinzi ulikuwa mkali siku nzima.
